Name,Title,Company,Domain
Rick Jackson,CMO,VMware,vmware.com
Jeremy Burton,CMO,EMC,emc.com
Jeremy Burton,CMO,EMC,emc.com
David Parsons,VP - Global Alliances & CMO,CSC,csc.com
Jeremy Burton,CMO,EMC,emc.com
David Parsons,VP of Global Alliances & CMO,CSC,csc.com
Anubhav Saxena,CMO,HCL,hcl.com
Lauren Flaherty,EVP & CMO,Juniper Networks,juniper.com
David Parsons,Corporate VP of Global Alliances & CMO,CSC,csc.com
Siki Giunta,VP of Cloud Division,CSC,csc.com
Rick Jackson,CMO,VMware,vmware.com
Dan Roger,Chief Marketing Officer,ServiceNow,servicenow.com
Ben Gibson,CMO,Nutanix,nutanix.com
Mark Boulton,CMO,IFS,ifs.com
Antony Bourne,VP Global Industry Solutions,IFS,ifs.com
Stefan Willkommer,CEO,TechDivision,techdivision.com
Dr. Markus Reheis,CMO,Gabor Shoes,gaborshoes.com
Ben Gibson,CMO,Nutanix,nutanix.com
Eric Herzog,CMO & VP of Global Channels,IBM Storage Systems,ibmstorage.com
Brian Reagan,Chief Marketing Officer,Actifio,actifio.com
Mike Errity,VP North America,IBM Resiliency Services,ibmresiliencyservices.com
Lynn Lucas,CMO,Cohesity,cohesity.com
Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels,ibmstoragechannels.com
Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels,ibmstoragechannels.com
Dan Rogers,CMO,ServiceNow,servicenow.com
Eric Herzog,Chief Marketing Officer,IBM Storage Systems,ibmstorage.com
Robson Grieve,Chief Marketing Officer,New Relic Inc.,newrelic.com
Bobby Patrick,CMO,UiPath,uipath.com
Nancy Pearson,CMO,OpenLink,openlink.com
Lawrence Schwartz,CMO,SoftwareONE,softwareone.com
Simon West,CMO,Cyxtera,cyxtera.com
Matt Morgan,CMO,Druva,druva.com
Brian Goldfarb,CMO,Splunk,splunk.com
Josh Epstein,CMO,Kaminario,kaminario.com
Eyal David,CTO,Kaminario,kaminario.com
Matthew Morgan,CMO,Druva,druva.com
Jaspreet Singh,CEO,Druva,druva.com
Karen Steele,GVP Corporate Marketing,Marketo,marketo.com
David Gee,CMO,Zuora,zuora.com
Itamar Ankorion,CMO,Attunity,attunity.com
Arvind Rajagopalan,Director - Global Technology Services,Verizon,verizon.com
David Hseih,CMO,Qubole,qubole.com
Matt Howard,Executive VP & CMO,Sonatype,sonatype.com
Sally Jenkins,EVP & Chief Marketing Officer,Informatica,informatica.com
Jeremy Burton,CMO,Dell,dell.com
Laura Ipsen,GM and SVP of Oracle Marketing Cloud,Oracle,oracle.com
Kristen O'Hara,Chief Marketing Officer for Global Media,Time Warner,timewarner.com
Brian Goldfarb,CMO,Splunk,splunk.com
Itamar Ankorion,CMO,Attunity,attunity.com
Ben Parr,Co-Founder & CMO,Octane AI,octaneai.com
Manish Gupta,Chief Marketing Officer,Redis Labs,redislabs.com
David Gee,CMO,Zuora,zuora.com
Bobby Patrick,CMO,HPE Cloud,hpecloud.com
Randy Arseneau,CMO,INFINIDAT,infinidat.com
Marie Hattar,CMO,Ixia,ixia.com
Steve Pao,CMO,Igneous Systems,igneous.com
John Magee,CMO Predix,General Electric,generalelectric.com
Randy Arsenau,CMO,INFINIDAT,infinidat.com
Steve Kenniston,VP of Product Marketing,INFINIDAT,infinidat.com
