Name,Title,Company
Janine Gianfredi,Chief Marketing Officer,Transcarent
Carolyn Crandall,Chief Marketing Officer,AirMDR
Martina Trucco,Chief Marketing Officer,At-Bay
Abhay Parasnis,Founder & CEO,Typeface
Rajan Sheth,Chief Marketing Officer,Together AI
Mark Heaps,VP of Brand & Chief Tech Evangelist,Groq
Lisa Varela-Schutes,Public Sector Practice Leader & Sales Manager,Ingram Micro Cloud
Nishita Henry,Principal & Global CCO Amazon Practice,Deloitte
Brooke Cunningham,Chief Marketing Officer,LogicMonitor
Yesenia Meneses,Country Manager Mexico,Escala 24x7
Jen Jones,Chief Marketing Officer,commercetools
Vidhya Srinivasan,Chief Marketing Officer,Prophix
Gabie Boko,Chief Marketing Officer,NetApp
Costa Kladianos,Head of Technology,San Francisco 49ers
Alison Biggan,Chief Marketing Officer,Boomi
Jenn Chase,CMO & EVP,SAS Institute
Peter Linder,Head of Thought Leadership – North America,Ericsson
Jacqueline Woods,Chief Marketing Officer,Teradata
Leon Mishkis,COO,NewtonX
Paola Menegon,Head of Strategic Opportunities/Alliances,Aruba
Andy Hurt,Chief Marketing Officer,Cobalt Iron
Scott Baker,CMO VP IBM Storage,IBM
Jennifer Johnson (JJ),Chief Marketing Officer,CrowdStrike
Jon Toor,Chief Marketing Officer,Cloudian
Bobby Patrick,Chief Marketing Officer,UiPath
Craig Le Clair,VP Principal Analyst,Forrester Research
Thomas Cornely,SVP Product Management,Nutanix
Tarkan Maner,Chief Commercial Officer,Nutanix
Justin Boitano,VP Enterprise AI,Nvidia
Bob Parker,SVP Industry Software & Services Research,IDC
Denise Persson,Chief Marketing Officer,Snowflake
Mike Gannon,Chief Revenue Officer,Snowflake
Chris Powell,Chief Marketing Officer,Qlik
Margaret Dawson,Chief Marketing Officer,Chronosphere
Bill Hineline,Field Chief Technology Officer,Chronosphere
Ted Marena,Director Market Development GPU AI Data Center OEM/ODMs,AMD
Jean English,Chief Marketing Officer,Juniper Networks
Bryan Ward,Lead Network Engineer,Dartmouth College
Brett Hannath,Corporate Vice President & CMO,Intel
Jim Jackson,Chief Marketing Officer,HPE
Jason Netwon,VP Global Marketing,HPE
Jeff Veis,CMO,Impetus Technologies
Anand Raman,CRO,Impetus Technologies
Ravi Kandikonda,Senior VP of Marketing,Zillow
Denise Persson,CMO,Snowflake
Jim Kruger,Chief Marketing Officer,Informatica
Eric Herzog,CMO,Infinidat
Gabie Boko,Chief Marketing Officer,NetApp
Abby Strong,CMO,Cribl
Alison Biggan,CMO,Boomi
Peder Ulander,CMO,MongoDB
Mona Chadha,Director of Category Management,AWS
Scott Baker,CMO & VP IBM Infrastructure Portfolio Product Marketing,IBM
Ivo Koerner,CRO,IBM Storage
Jen Jones,CMO,commercetools
Jenn Chase,Chief Marketing Officer,SAS Institute
Eric Hanson,CMO,Mitel
Luiz Domingos,CTO,Mitel
Chandra Rangan,CMO,Neo4j
Kevin Cochrane,CMO,Vultr
Jacqueline Woods,Chief Marketing Officer,Teradata
Vedat Akgun,VP Data Science and AI,Teradata
Jennifer Johnson,Chief Marketing Officer,CrowdStrike
Ian Massingham,CMO,Aiven
"Duleepa ""Dups"" Wijayawardhana",CTO,Supermetrics
David Nicholson,Field CTO,Infinidat
Pete Brey,Global Product Executive,IBM
Brandon Mann,Product Management Leader for Storage Fusion,IBM
Laura Heisman,Chief Marketing Officer,VMware
Geoff Stedman,Chief Marketing Officer,SDVI Corporation
Meagen Eisenberg,CMO,Lacework
Rachel Thorton,Chief Marketing Officer,MessageBird
Andrea Euenheim,Chief People Officer,MessageBird
Asha Thurthi,Chief Product Officer,MessageBird
Zeynep Ozdemir,CMO,Palo Alto Networks
Thomas Been,Chief Marketing Officer,DataStax
John Kreisa,CMO,Couchbase
Tommy McClung,Co-Founder & CEO,Releasehub
Matt Carter,CMO,Releasehub
Ashley Kramer,Chief Marketing Officer & Chief Product Officer,Sisense
Ed Macosky,Head of Product,Boomi
Mandy Dhaliwal,CMO,Boomi
Brian Mullen,Chief Marketing Officer,InfluxData
Arwa Kaddoura,Chief Revenue Officer,InfluxData
Chris Port,COO,Boomi
Isabelle Guis,CMO,Commvault
Reza Morakabati,CIO,Commvault
John Gallagher,Senior Manager of Global Enterprise Infrastructure,syncreon
Carol Carpenter,Senior Vice President and Chief Marketing Officer,VMware
Bill Largent,CEO,Veeam
Jim Kruger,CMO,Veeam
Ajay Khanna,Chief Marketing Officer,Explorium
Manoj Nair,General Manager Metallic,Commvault
Tim Carben,Principle Systems Engineer,Mitchell International
Maria Winans,CMO,Kyndryl
John Maddison,CMO and EVP of Product,Fortinet
Beth Davidson,CMO,Agero
Raj Behara,VP and CTO,Agero
Norman Guadagno,Chief Marketing Officer,Acoustic
Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM
Carol Carpenter,Chief Marketing Officer,VMware
Tim Minihan,EVP of Strategy Chief Marketing Officer,Citrix
Brian Reagan,CMO,Actifio
John Maddison,CMO and EVP Products,Fortinet
Marissa Freeman,Chief Brand Officer,HPE
Jim Jackson,CMO,HPE
Danny Allan,CTO,Veeam
Michelle Peluso,SVP Digital Sales & Chief Marketing Officer,IBM
Peter Guagenti,Chief Marketing Officer,Cockroach Labs
Bobby Patrick,CMO,UiPath
Brandon Nott,Senior Vice President of Product,UiPath
Paul Forte,Chief Revenue Officer,Actifio
Mani Dasgupta,VP Marketing,IBM
Maria Winanas,CMO North America,IBM
Vittorio Viarengo,Interim CMO,McAfee
Riadh Dridi,CMO,Automation Anywhere
Karin Toubba,CEO,Kenna Security
Caroline Japic,CMO,Kenna Security
Eric Herzog,CMO & VP Global Channels,IBM Storage
Eric Herzog,Chief Marketing Officer & VP of Global Storage Channels,IBM
Eric Herzog,CMO & VP of Global Storage Channels,IBM
Eric Herzog,CMO & VP Global Channels,IBM Storage
Rick Vanover,Senior Director Product Strategy,Veeam
Jim Kruger,Chief Marketing Officer,Veeam
Lynn Lucas,CMO,Cohesity
Chandar Pattabhiram,CMO,Coupa
Annie Weckesser,CMO,Uniphore
Rip Gerber,Chief Marketing and Innovation Officer,Vlocity
Carrie Palin,CMO,Splunk
Scott Hebner,Vice President & CMO,IBM Data & AI
Bobby Patrick,CMO,UiPath
Chris Powell,CMO,Commvault
Gaidar Magdanurov,CMO & Chief Cyber Strategy Officer,Acronis
Mandy Dhaliwal,CMO,Boomi
Samantha Choi Cadley,CEO,Manual Labor Studio
Anna Griffin,CMO,Smartsheet
Will Corkery,SVP of Sales,Boomi
Calline Sanchez,Vice President,IBM Worldwide Systems Lab Services
Graham Breeze,Field CTO,Tintri by DDN
Mario Blandini,CMO & Chief Evangelist,Tintri by DDN
Todd Forsythe,CMO,Veritas
Marc Creviere,Principal Systems Engineer,US Signal
Doc D’Errico,CMO,Infinidat
Robin Matlock,CMO,VMware
Carl Eschenbach,Partner,Sequoia Capital
Gary Conway,CMO,Automation Anywhere
Gregory Ness,CMO,Tempered Networks
Ryan Kam,CMO,Five9
Marie Hattar,CMO,Keysight
Meagen Eisenberg,CMO,TripActions
Murali Nemani,CMO,ScienceLogic
Joe Damassa,VP Strategy Offerings - Hybrid Cloud Services,IBM
Sally Jenkins,EVP & CMO,Informatica
Tim Minihan,CMO & EVP Strategy,Citrix
Alicia Tillman,CMO,SAP
Ben Gibson,Chief Marketing Officer,Nutanix
Monica Kumar,SVP Product & Solutions Marketing,Nutanix
Allison Dew,CMO,Dell Technologies
Sara Varni,CMO,Twilio
Micheline Nijmeh,CMO,Zscaler
Alison Wagonfeld,CMO,Google Cloud
Partha Seetala,Co-founder and CTO,Robin.io
Radhesh Menon,CMO,Robin.io
Joyce Kim,CMO,Arm
Tim Minahan,EVP of Business Strategy and CMO,Citrix
Joel Horwitz,CMO,WANdisco
Steve Pappas,SVP and CMO,Panviva
Dayna Rothman,VP of Marketing,Mesosphere
Tom Murphy,Chief Marketing Officer,Turbonomic
Simon Townsend,Chief Marketing Officer EMEA,IGEL
Jean English,Senior Vice President and Chief Marketing Officer,NetApp
Brian Goldfarb,CMO,Splunk
Karen Leavitt,Chief Marketing Officer,Locus Robotics
Meagen Eisenberg,CMO,MongoDB
Gil Levonai,Chief Marketing Officer,Zerto
Boris Renski,Co Founder and CMO,Mirantis
Kate Hutchison,Chief Marketing Officer,Veeam
Nancy Pearson,CMO,IBM Cloud
John Bara,CMO & President,Mintigo
Jack Norris,CMO,MapR
Lynn Vojvodich,CMO,Salesforce
Eric Herzog,CMO & SVP of Alliances,Violin Memory
David Gibson,CMO,Varonis
Bruno Aziza,CMO,Alpine Data Labs
Steve Sommer,CMO,Splunk
Elissa Fink,CMO,Tableau
Rick Jackson,CMO,Rackspace
Beth Comstock,CMO,GE
Beth White,CMO,ServiceNow
Sanjay Sarathy,CMO,Sumo Logic
Jack Norris,CMO,MapR
Steve Sommer,CMO,Splunk
Rick Jackson,CMO,VMware
Jeremy Burton,CMO,EMC
Jeremy Burton,CMO,EMC
David Parsons,VP - Global Alliances & CMO,CSC
Jeremy Burton,CMO,EMC
David Parsons,VP of Global Alliances & CMO,CSC
Anubhav Saxena,CMO,HCL
Lauren Flaherty,EVP & CMO,Juniper Networks
David Parsons,Corporate VP of Global Alliances & CMO,CSC
Siki Giunta,VP of Cloud Division,CSC
Rick Jackson,CMO,VMware
Dan Roger,Chief Marketing Officer,ServiceNow
Ben Gibson,CMO,Nutanix
Brian Sommer,Industry Analyst,TechVentive
Mark Boulton,CMO,IFS
Antony Bourne,VP Global Industry Solutions,IFS
Stefan Willkommer,CEO,TechDivision
Dr. Markus Reheis,CMO,Gabor Shoes
Ben Gibson,CMO,Nutanix
Eric Herzog,CMO & VP of Global Channels,IBM Storage Systems
Brian Reagan,Chief Marketing Officer,Actifio
Mike Errity,VP North America,IBM Resiliency Services
Lynn Lucas,CMO,Cohesity
Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels
Eric Herzog,CMO & VP of Worldwide Storage Channels,IBM Storage Channels
Dan Rogers,CMO,ServiceNow
Eric Herzog,Chief Marketing Officer,IBM Storage Systems
Robson Grieve,Chief Marketing Officer,New Relic Inc.
Bobby Patrick,CMO,UiPath
Nancy Pearson,CMO,OpenLink
Lawrence Schwartz,CMO,SoftwareONE
Simon West,CMO,Cyxtera
Matt Morgan,CMO,Druva
Brian Goldfarb,CMO,Splunk
Eric Herzog,IBM Storage Systems,IBM
Eric Herzog,IBM Storage Systems,IBM
Sam Werner,IBM Software Defined Storage,IBM
Josh Epstein,CMO,Kaminario
Eyal David,CTO,Kaminario
Randy Arseneau,INFINIDAT,INFINIDAT
Brian Carmody,INFINIDAT,INFINIDAT
Matthew Morgan,CMO,Druva
Jaspreet Singh,CEO,Druva
Karen Steele,GVP Corporate Marketing,Marketo
David Gee,CMO,Zuora
Itamar Ankorion,CMO,Attunity
Arvind Rajagopalan,Director - Global Technology Services,Verizon
David Hseih,CMO,Qubole
Matt Howard,Executive VP & CMO,Sonatype
Sally Jenkins,EVP & Chief Marketing Officer,Informatica
Jeremy Burton,CMO,Dell
Laura Ipsen,GM and SVP of Oracle Marketing Cloud,Oracle
Kristen O'Hara,Chief Marketing Officer for Global Media,Time Warner
Brian Goldfarb,CMO,Splunk
Itamar Ankorion,CMO,Attunity
Ben Parr,Co-Founder & CMO,Octane AI
Manish Gupta,Chief Marketing Officer,Redis Labs
David Gee,CMO,Zuora
Bobby Patrick,CMO,HPE Cloud
Randy Arseneau,CMO,INFINIDAT
Marie Hattar,CMO,Ixia
Steve Pao,CMO,Igneous Systems
John Magee,CMO Predix,General Electric
Randy Arsenau,CMO,INFINIDAT
Steve Kenniston,VP of Product Marketing,INFINIDAT
Vik Kathuria,Global Agency Partnerships OMB,Oracle
